Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
X86809,117,731,228,117,228.0,358.6666666666667,209.7760900201168
X02152,118,1791,1388,118,1388.0,1099.0,307.5855310849589
T92451,119,1141,1530,119,1141.0,930.0,302.01199469465433
T56690,120,1729,471,120,471.0,773.3333333333334,271.8660854131138
L40904,121,1458,1687,121,1458.0,1088.6666666666667,314.3631882503677
R10066,122,796,1948,122,796.0,955.3333333333334,301.012916256492
H27277,123,1677,446,123,446.0,748.6666666666666,273.5095924865545
U30825,124,296,12,12,124.0,144.0,31.653507090839405
T86749,125,243,951,125,243.0,439.6666666666667,227.84664105820272
M35531,126,1271,647,126,647.0,681.3333333333334,292.1446666134088
J04102,127,1191,743,127,743.0,687.0,298.22433263661054
M14764,128,1540,338,128,338.0,668.6666666666666,262.68711953150466
H01346,129,42,1083,42,129.0,418.0,92.35081920770575
X12466,130,1488,1672,130,1488.0,1096.6666666666667,334.7303928332901
X52541,131,1328,1721,131,1328.0,1060.0,334.53552916358
H20426,132,498,1170,132,498.0,600.0,287.3978745347742
X80507,133,543,505,133,505.0,393.6666666666667,264.5359031332281
R83923,134,725,253,134,253.0,370.6666666666667,234.47454026844574
R37464,135,502,1169,135,502.0,602.0,292.5438964677268
X14958,136,234,1048,136,234.0,472.6666666666667,238.46156192800487
X12369,137,982,1923,137,982.0,1014.0,339.457877133676
X62025,138,409,824,138,409.0,457.0,275.10425301181067
Z24727,139,1800,1397,139,1397.0,1112.0,354.37452665324537
R72104,140,458,917,140,458.0,505.0,287.996982788178
H49515,141,1101,630,141,630.0,624.0,312.89877050360406
X14767,142,1342,1745,142,1342.0,1076.3333333333333,358.8312475900529
U10362,143,933,624,143,624.0,566.6666666666666,310.3218491059747
T90350,144,903,577,144,577.0,541.3333333333334,306.5927745109658
M81695,145,1213,732,145,732.0,696.6666666666666,330.13926343294236
L28010,146,1802,1399,146,1399.0,1115.6666666666667,369.50134388811995
D25217,147,1864,1461,147,1461.0,1157.3333333333333,373.8939994937858
Z11502,148,813,50,50,148.0,337.0,107.19350968676873
X87342,149,116,1108,116,149.0,457.6666666666667,184.79021176954944
X54942,150,422,932,150,422.0,501.3333333333333,296.7565609888598
M91463,151,1185,746,151,746.0,694.0,340.6427320386087
U26710,152,1179,749,152,749.0,693.3333333333334,342.37831118578185
U20972,153,909,574,153,574.0,545.3333333333334,319.8901965498588
T52342,154,1985,1333,154,1333.0,1157.3333333333333,387.2230649763999
Z29677,155,1501,412,155,412.0,689.3333333333334,314.3000261223027
U21128,156,1042,1582,156,1042.0,926.6666666666666,374.90343611684006
L35249,157,880,1977,157,880.0,1004.6666666666666,374.45669692899855
H06524,158,1039,509,158,509.0,568.6666666666666,324.1065816778398
X81372,159,1402,1653,159,1402.0,1071.3333333333333,394.3458370299341
M24470,160,574,1820,160,574.0,851.3333333333334,351.22180819768585
T74257,161,1875,1380,161,1380.0,1138.6666666666667,401.65206785674684
M83221,162,519,844,162,519.0,508.3333333333333,323.1207117943301
R20554,163,1568,324,163,324.0,685.0,304.2860460444767
T79595,164,1018,1594,164,1018.0,925.3333333333334,389.2448119508937
R42127,165,41,870,41,165.0,358.6666666666667,94.93588192596178
X72727,166,488,1175,166,488.0,609.6666666666666,336.1592921604128
H04311,167,1336,1748,167,1336.0,1083.6666666666667,410.47480665573
T52015,168,1947,1357,168,1357.0,1157.3333333333333,416.4982561036373
M20543,169,1193,742,169,742.0,701.3333333333334,370.2290605425909
H85528,170,1631,484,170,484.0,761.6666666666666,350.40222672100015
M57567,171,470,1184,171,470.0,608.3333333333334,340.12805696080375
U29092,172,1172,1518,172,1172.0,954.0,409.5027942131596
X57974,173,1347,125,125,173.0,548.3333333333334,206.57262706515598
H61410,174,416,1148,174,416.0,579.3333333333334,332.51856199246635
T51023,175,1814,1441,175,1441.0,1143.3333333333333,431.06444938574236
L05144,176,771,214,176,214.0,387.0,257.47244601807574
T52185,177,1901,1312,177,1312.0,1130.0,432.404287169997
T59954,178,1977,1325,178,1325.0,1160.0,436.14087758447107
X15880,179,1490,1671,179,1490.0,1113.3333333333333,437.5616219221765
Z11692,180,122,1105,122,180.0,469.0,204.67680715269773
R39010,181,1687,450,181,450.0,772.6666666666666,359.71859955128815
D63878,182,359,1237,182,359.0,592.6666666666666,330.0900790274383
X12496,183,1367,102,102,183.0,550.6666666666666,187.5008046323308
H16991,184,402,938,184,402.0,508.0,333.76192522561246
U37673_,185,1149,702,185,702.0,678.6666666666666,389.59881047802804
R75843,186,1164,1522,186,1164.0,957.3333333333334,435.25692275991054
T48804,187,1939,1318,187,1318.0,1148.0,453.0320062717618
X65873,188,1299,39,39,188.0,508.6666666666667,94.5477540080409
U10868,189,1021,518,189,518.0,576.0,365.8117618929697
M55422,190,1432,691,190,691.0,771.0,404.9315304526873
L06132,191,144,814,144,191.0,383.0,223.73787617340787
M87772,192,651,155,155,192.0,332.6666666666667,227.34085121862495
T67077,193,293,988,193,293.0,491.3333333333333,312.28978400162475
R20666,194,1195,741,194,741.0,710.0,408.6643977102148
T47584,195,966,1931,195,966.0,1030.6666666666667,449.01655007425126
J04794,196,668,1772,196,668.0,878.6666666666666,418.79666124327287
D13315_,197,1603,411,197,411.0,737.0,368.8647430681012
X68314,198,949,616,198,616.0,587.6666666666666,388.21772388518576
R09502,199,1111,721,199,721.0,677.0,410.2744657467963
D31887,200,1248,1543,200,1248.0,997.0,465.1616996743783
X70326,201,1108,1612,201,1108.0,973.6666666666666,461.68059889849866
M86553,202,1850,1447,202,1447.0,1166.3333333333333,485.27037844486773
X75208,203,801,44,44,203.0,349.3333333333333,103.79968952359765
H20512,204,1309,106,106,204.0,539.6666666666666,198.67727308885532
T51574,205,1968,1350,205,1350.0,1174.3333333333333,489.6424622189458
R42501,206,646,1780,206,646.0,877.3333333333334,430.7773593689759
X89986,207,1417,99,99,207.0,574.3333333333334,191.8447527499752
T71001,208,1601,410,208,410.0,739.6666666666666,381.1301779662752
T91121,209,1079,551,209,551.0,613.0,398.59931736453956
U18300,210,1230,1552,210,1230.0,997.3333333333334,482.3738358241282
M34344,211,375,849,211,375.0,478.3333333333333,349.49314042234397
H04235,212,1270,1718,212,1270.0,1066.6666666666667,492.8977635192639
M64673,213,1059,562,213,562.0,611.3333333333334,404.3953910494231
D55673,214,649,1781,214,649.0,881.3333333333334,442.79060128683943
M21186,215,40,854,40,215.0,369.6666666666667,97.3326854265141
T60437,216,1649,493,216,493.0,786.0,412.96970827724994
H06061,217,1069,556,217,556.0,614.0,408.5907692697592
M59040,218,745,201,201,218.0,388.0,275.1142081000525
T70595,219,1776,1435,219,1435.0,1143.3333333333333,514.9209307303194
R54422,220,1104,1614,220,1104.0,979.3333333333334,494.16633891023514
D29641,221,82,776,82,221.0,359.6666666666667,166.5864402764067
R52000,222,734,1802,222,734.0,919.3333333333334,467.15573751365565
D00860,223,607,163,163,223.0,331.0,244.56413979626896
R82938,224,1758,1417,224,1417.0,1133.0,522.754617170359
X06614,225,778,1966,225,778.0,989.6666666666666,480.8895697520387
H72234,226,877,25,25,226.0,376.0,65.83996598413479
H05803,227,1918,1266,227,1266.0,1137.0,524.7918498385886
T98555,228,865,20,20,228.0,371.0,54.013145882782545
H09665,229,1447,419,229,419.0,698.3333333333334,402.98033101556007
X87838,230,1844,1472,230,1472.0,1182.0,538.6505794570568
T47645,231,1922,1256,231,1256.0,1136.3333333333333,531.399131553452
T51613,232,18,1253,18,232.0,501.0,49.45273544070114
X70297,233,1241,663,233,663.0,712.3333333333334,454.13653265319823
T92259,234,1525,396,234,396.0,718.3333333333334,402.44177502862124
T48939,235,1194,1507,235,1194.0,978.6666666666666,521.1581439164403
T70062,236,1638,352,236,352.0,742.0,390.18310559196186
T53396_,237,1851,1448,237,1448.0,1178.6666666666667,550.4318977641099
R37114,238,1410,1649,238,1410.0,1099.0,543.7413973585158
M75126,239,650,585,239,585.0,491.3333333333333,403.6618227312097
M65028,240,169,1020,169,240.0,476.3333333333333,271.1443177349587
H64489,241,81,13,13,81.0,111.66666666666667,32.113679503943985
X04106,242,1880,1291,242,1291.0,1137.6666666666667,551.5983849549627
H02258,243,777,217,217,243.0,412.3333333333333,299.6846551635861
M55265,244,1005,526,244,526.0,591.6666666666666,428.9068204842861
M14200_,245,936,1884,245,936.0,1021.6666666666666,528.0951659194141
X53586,246,302,983,246,302.0,510.3333333333333,357.41547466784994
U17899,247,492,581,247,492.0,440.0,384.50330106392823
L13939,248,1332,1750,248,1332.0,1110.0,560.2829547422315
U28686,249,248,948,248,249.0,481.6666666666667,329.555360399919
T77537,250,1217,730,250,730.0,732.3333333333334,484.53089095087125
M69135,251,978,1925,251,978.0,1051.3333333333333,542.8843186715598
R39209_,252,783,220,220,252.0,418.3333333333333,306.4086057936642
L27670,253,1388,1690,253,1388.0,1110.3333333333333,569.8280339540926
M29065,254,1656,282,254,282.0,730.6666666666666,370.96703654127623
H66786,255,211,966,211,255.0,477.3333333333333,309.40269187496654
U31525,256,1288,1709,256,1288.0,1084.3333333333333,569.4993221992546
X61123,257,22,1092,22,257.0,457.0,59.6880143850581
M22050,258,925,628,258,628.0,603.6666666666666,458.05675374449606
M19159,259,823,55,55,259.0,379.0,128.9884914566119
T67905,260,850,1992,260,850.0,1034.0,543.0225482295281
X74262,261,505,839,261,505.0,535.0,428.3565919798988
T55248,262,106,1113,106,262.0,493.6666666666667,212.0256907416384
R20804,263,568,1823,263,568.0,884.6666666666666,490.88660016811906
M90104,264,427,1140,264,427.0,610.3333333333334,428.1437652420741
D00761,265,471,1182,265,471.0,639.3333333333334,444.92226822964574
H15813,266,1210,1562,266,1210.0,1012.6666666666666,574.0473598713849
J00073,267,483,595,267,483.0,448.3333333333333,400.19294658829546
R52271,268,90,1122,90,268.0,493.3333333333333,190.67328016233125
X55177,269,1350,1741,269,1350.0,1120.0,596.1138860699302
X80754,270,1154,1527,270,1154.0,983.6666666666666,574.1479902881223
H45299,271,1400,1654,271,1400.0,1108.3333333333333,598.931800814066
M27749,272,824,1943,272,824.0,1013.0,555.0692675565164
