Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
tqwt_meanValue_dec_3,492,328,293,293,328.0,371.0,353.1792568395263
tqwt_skewnessValue_dec_32,493,512,523,493,512.0,509.3333333333333,509.02946540690533
tqwt_energy_dec_35,494,292,194,194,292.0,326.6666666666667,282.9230955879379
tqwt_medianValue_dec_4,495,337,264,264,337.0,365.3333333333333,341.8632055332593
det_entropy_log_4_coef,496,659,630,496,630.0,595.0,585.8366603003849
tqwt_meanValue_dec_36,497,160,192,160,192.0,283.0,222.71044032985841
tqwt_energy_dec_10,498,454,491,454,491.0,481.0,480.20474561803195
tqwt_energy_dec_21,499,19,20,19,20.0,179.33333333333334,28.670933924701377
det_LT_TKEO_std_7_coef,500,544,563,500,544.0,535.6666666666666,534.3370102771432
std_delta_delta_0th,501,133,31,31,133.0,221.66666666666666,71.81694809183307
f3,502,204,336,204,336.0,347.3333333333333,303.94572821708715
det_LT_TKEO_std_4_coef,503,436,352,352,436.0,430.3333333333333,421.1969532733397
det_TKEO_std_2_coef,504,695,736,504,695.0,645.0,627.3956636576613
tqwt_energy_dec_2,505,684,560,505,560.0,583.0,573.8441152621482
tqwt_TKEO_std_dec_35,506,618,672,506,618.0,598.6666666666666,590.2603732458457
tqwt_minValue_dec_28,507,683,562,507,562.0,584.0,575.167173204369
tqwt_meanValue_dec_6,508,359,377,359,377.0,414.6666666666667,405.0474774709317
IMF_SNR_TKEO,509,245,177,177,245.0,310.3333333333333,256.49823948435676
tqwt_meanValue_dec_4,510,319,332,319,332.0,387.0,370.02187624167084
det_LT_TKEO_std_6_coef,511,136,30,30,136.0,225.66666666666666,70.35115740220007
det_entropy_shannon_7_coef,512,732,573,512,573.0,605.6666666666666,592.3649002019132
tqwt_TKEO_std_dec_21,513,265,315,265,315.0,364.3333333333333,337.173142789654
tqwt_maxValue_dec_29,514,572,576,514,572.0,554.0,552.4975683599697
Ed2_4_coef,515,554,683,515,554.0,584.0,575.7129098112438
tqwt_minValue_dec_25,516,481,449,449,481.0,482.0,480.4490801883742
tqwt_energy_dec_22,517,404,487,404,487.0,469.3333333333333,464.1899436411898
Ed_3_coef,518,395,454,395,454.0,455.6666666666667,450.1266652883484
det_TKEO_mean_2_coef,519,172,61,61,172.0,250.66666666666666,124.30503960614523
det_entropy_shannon_3_coef,520,688,536,520,536.0,581.3333333333334,572.2747819443559
tqwt_skewnessValue_dec_33,521,269,278,269,278.0,356.0,324.8869858158985
tqwt_stdValue_dec_3,522,621,739,522,621.0,627.3333333333334,614.8555566677704
std_1st_delta,523,259,164,164,259.0,315.3333333333333,252.7249919417531
mean_8th_delta,524,298,261,261,298.0,361.0,329.83273535584607
tqwt_maxValue_dec_32,525,571,604,525,571.0,566.6666666666666,564.7904516620068
tqwt_entropy_shannon_dec_28,526,511,486,486,511.0,507.6666666666667,507.1250207047911
mean_4th_delta_delta,527,459,482,459,482.0,489.3333333333333,487.73578286120664
